ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
HB8229,18.4,0.29872691,0.009000205,0.003231984,0.001204409,0.001376323,0.001614981,0.09000913,0.19464915,0.011953081,0.139828203,3.26E-03,0.036889715,0.010009441,0.671475945,0.315035479,0.59339462,0.001254972,0.00117306,0.007963664,0.11211727,0.00601598,0.003953011,0.05803502,0.000957662,0.009605949,8.76E-04
4722,23.6,0.10016256,0.012684124,0.012416877,0.002499226,2.35E-03,1.37E-02,0.14255909,0.234781631,0.00685997,0.2526612,0.000656139,0.080290397,0.016427434,0.55631736,0.181861075,0.37464428,0.004803085,0.001253299,0.003197756,0.43450959,0.002412601,0.001153772,0.13252737,7.74E-05,0.000882839,0.000269091
38-11,21.5,0.50999035,0.018321087,0.019366578,0.001209133,0.003422846,0.005284274,0.16073737,0.05330184,0.01236179,0.37828188,1.94E-02,0.072977521,0.011814044,0.19282712,0.06976605,0.64872014,0.007100245,0.001790971,0.008632116,0.21155049,5.23E-03,0.013668654,0.2296931,0.000711388,0.006752506,0.005122904
4N506,30,0.03268981,0.003844721,0.002387248,0.02177115,NA,0.000721758,0.08487473,0.051749976,0.009422021,0.06985372,0.001224241,0.009116749,0.015621122,0.05599858,0.222192385,0.2169942,0.000666827,0.010117664,0.004808716,0.243394,0.000143181,0.000695193,2.1381544,0.0022139,0.113456876,0.007622355
A554,22.5,0.08963739,0.003754568,0.00902765,0.00774776,0.001898977,0.00303536,0.05514876,0.04237656,4.47E-04,0.5145744,0.008560415,0.00975854,0.009418125,0.0342984,0.03770087,0.05483171,0.010144009,0.00085771,0.006391109,0.82692609,2.06E-03,0.002526407,1.03270591,0.009504898,0.012012949,0.002027467
A654,26,0.181418655,0.014960301,1.08E-02,0.008777333,0.00237245,9.33E-04,0.077201695,0.090199798,1.73E-03,0.41654925,1.64E-02,0.015843582,0.0347239,0.04241648,0.176389062,0.086746972,0.00561504,0.001013218,0.023645656,0.25554566,3.96E-02,0.003336029,0.18301656,2.06E-03,9.68E-04,0.000868682
A661,24.9,0.0988398,0.021957659,0.019910293,0.004114954,9.89E-04,1.77E-03,0.11931153,0.034239927,0.004188143,0.4203015,0.006273067,0.0439288,0.021403927,0.08822836,0.040547662,0.09675488,0.003973392,0.000844562,0.005785782,0.28428817,0.009829474,0.001781574,0.06510316,5.51E-04,0.038417477,0.003853978
B10,25.1,0.07392455,0.005475584,0.010372773,0.002301079,1.89E-03,5.00E-04,0.14400703,0.07318281,0.006087316,0.3358537,0.004317961,0.006269002,0.012609678,0.02084389,0.019382901,0.017481865,0.002536104,0.000695908,0.016658444,0.1037869,0.000869259,0.00174602,0.11066001,0.001000107,8.74E-03,1.53E-04
B14A,22.4,0.08176586,0.007849523,6.51E-03,0.015092652,0.00358709,1.11E-03,0.059902111,0.115057382,2.37E-03,0.09306043,1.08E-02,0.019172989,0.016948958,0.09730933,0.175118605,0.192313302,0.006161168,0.003921225,0.006698613,0.16024871,9.30E-03,0.002220496,1.53859649,6.08E-04,1.39E-02,0.000894563
B52,23.7,0.11373151,0.014342074,0.003804494,0.0273577,0.003421681,0.000945216,0.1859523,0.021547769,0.002852976,0.18473896,0.004245594,0.03410181,0.017001281,0.26331033,0.021437494,0.72529084,NA,0.001767554,0.010810118,0.2300277,0.004215662,0.004743408,0.17525524,0.002911265,0.009620721,0.003325584
