PlotID,Genotype,Row,Column,Device_ID,Day,hour,ECS_.mAU,ECS_tau,gH.,vH.,Phi2,PhiNPQ,PhiNO,qL,NPQt,FvP_over_FmP,PS1_Active.Centers,PS1_Open.Centers,PS1_Over.Reduced.Centers,PS1_Oxidized.Centers,Light_Intensity,Ambient_Temperature,Ambient_Humidity,Leaf_Temperature,Leaf_Temperature_Differential,Relative_Chlorophyll,LEF
1001,B97,1,1,52:00:12:9a,7/28/20,13:21:00,0.00035,0.0046,216.097,0.076,0.478,0.303,0.219,0.446,1.38,0.672,4.412,0.333,0.65,0.017,479.686,25.94,70.262,27.29,1.35,75.02,103.1804586
1001,B97,1,1,41:00:12:f5,7/24/20,14:35:07,0.00053,0.0049,205.324,0.109,0.471,0.316,0.213,0.453,1.485,0.663,5.887,0.727,0.584,-0.312,554.414,31.11,60.653,30.15,-0.96,71.27,117.5080473
1001,B97,1,1,41:00:08:7f,7/23/20,14:56:45,0.00164,0.0147,68.157,0.112,0.405,0.37,0.225,0.369,1.647,0.648,6.896,0.281,0.839,-0.12,481.111,27.78,71.372,28.53,0.75,66.38,87.68247975
1002,NS501,1,2,41:00:08:7f,7/23/20,14:57:21,0.00081,0.005,199.917,0.162,0.461,0.392,0.146,0.646,2.681,0.57,5.48,0.666,0.465,-0.131,667.26,28.04,71.48,29.69,1.65,77.54,138.423087
1002,NS501,1,2,52:00:12:9a,7/28/20,13:21:44,0.00015,0.0055,181.065,0.027,0.643,0.172,0.185,0.714,0.93,0.717,8.09,0.228,0.518,0.254,87.844,26.23,69.567,25.57,-0.66,68.54,25.4176614
1002,NS501,1,2,41:00:12:f5,7/24/20,14:35:41,0.00024,0.0039,258.821,0.062,0.598,0.218,0.183,0.668,1.189,0.69,7.803,0.592,0.456,-0.048,258.635,31.22,60.121,27.93,-3.29,77.45,69.5986785
1003,LH59,1,3,41:00:08:7f,7/23/20,14:57:57,0.00111,0.0116,86.02,0.095,0.4,0.423,0.177,0.462,2.387,0.59,9.551,0.161,0.723,0.116,702.359,28.3,69.771,28.49,0.19,74.73,126.42462
1003,LH59,1,3,41:00:12:f5,7/24/20,14:36:15,0.0003,0.0041,242.516,0.073,0.584,0.206,0.21,0.57,0.98,0.711,3.552,1.04,0.407,-0.448,393.324,31.33,59.742,28.93,-2.4,73.97,103.3655472
1003,LH59,1,3,52:00:12:9a,7/28/20,13:22:27,0.00131,0.0072,139.089,0.182,0.331,0.508,0.161,0.423,3.167,0.539,5.701,0.468,0.254,0.279,1472.616,26.52,68.667,28.17,1.65,72.26,219.3461532
1004,PHRE1,1,4,41:00:12:f5,7/24/20,14:36:47,0.0014,0.0104,95.694,0.134,0.433,0.322,0.245,0.363,1.313,0.678,8.432,0.282,0.515,0.203,701.875,31.43,59.754,28.49,-2.94,79.42,136.7603438
1004,PHRE1,1,4,52:00:12:9a,7/28/20,13:23:06,0.00112,0.0082,121.734,0.136,0.314,0.44,0.246,0.261,1.787,0.637,6.18,0.559,0.379,0.062,1525.635,26.78,67.793,27.25,0.47,72.95,215.5722255
